Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
C48,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,159.8,64.3,90,front
R12,100,YAGEO,RC0402FR-07100RL,C106232,R:0402,107.65,70.75,90,front
C10,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,103.65,59.5,0,front
CF11,22p C0G,FH,0402CG220J500NT,C1555,C:0402,147.112,62.125,90,front
C34,1n,FH,0402CG102J500NT,C53547,C:0402,56.75,64.5,90,front
R16,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,49.2,68.4,90,front
C44,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,101.7,65.25,0,front
PD13,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,174.106,78.5794,88.524,front
RF14,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,148.388,63.025,90,front
R3,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,86,64.5,0,front
U4,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,IC:TSSOP-14,142.5,60.5,0,front
RF9,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,140.888,64,0,front
R11,100,YAGEO,RC0402FR-07100RL,C106232,R:0402,103.65,66.3,0,front
RF5,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,62.388,59.775,90,front
CF15,22p C0G,FH,0402CG220J500NT,C1555,C:0402,154.112,64.775,0,front
R14,100,YAGEO,RC0402FR-07100RL,C106232,R:0402,102.8,68,180,front
R9,22,UNI-ROYAL,0402WGF220JTCE,C25092,R:0402,116.25,63.25,0,front
R4,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,99,66,0,front
C2,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,117.4,60.1,180,front
FB1,600R@100MHz 500mA,Murata,BLM18AG601SN1D,C19330,L:0603,89,67,0,front
PD6,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,58.0382,66.8263,-168.75,front
RF8,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,69.862,58.025,0,front
D10,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,138.6922,106.6029,-6.53,front
U3,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,IC:TSSOP-14,67,61.4,0,front
U9,STM32F302CCT6,STMicroelectronics,STM32F302CCT6,C262946,IC:LQFP-48,110,63,0,front
RF16,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,155.862,58.025,0,front
R29,110k,UNI-ROYAL,0402WGF1103TCE,C25745,R:0402,154.1,65.8,0,front
C6,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,149.9875,65.75,0,front
U13,SN74LVC1G04DBVR,Texas Instruments,SN74LVC1G04DBVR,C7827,IC:SOT-23-5,117.5,66.6,0,front
