Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
PD11,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,154.4082,106.4508,7.387,front
D11,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,159.2309,105.5578,11.779,front
RF11,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,145.362,63.875,0.0,front
CF11,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,147.112,62.125,90.0,front
PD12,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,170.1048,98.5678,64.946,front
D12,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,171.5099,93.9754,74.093,front
RF12,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,147.112,58.875,90.0,front
CF12,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,148.362,58.875,90.0,front
PD13,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,174.106,78.5794,88.524,front
D13,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,173.4235,73.926999,102.15,front
RF13,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,150.138,58.025,0.0,front
CF13,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,148.388,61.025,90.0,front
PD14,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,161.961799,66.8263,168.75,front
D14,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,157.094499,66.2981,174.743,front
RF14,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,148.388,63.025,90.0,front
CF14,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,150.138,64.775,0.0,front
PD15,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,139.9941,65.9781,-174.859,front
D15,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,135.0707,66.5788,-173.002,front
RF15,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,158.112,64.025,0.0,front
CF15,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,154.112,64.775,0.0,front
PD16,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,118.1743,73.9765,-104.792,front
D16,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,117.9303,78.6886,-87.24,front
RF16,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,155.862,58.025,0.0,front
CF16,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,153.862,58.025,0.0,front
U8,TMUX1308PWR,Texas Instruments,TMUX1308PWR,C970231,IR_Glasses:TSSOP-16_4.4x5mm_P0.65mm,131.0,61.5,0.0,front
C1,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,85.0,58.25,0.0,front
C2,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,121.25,58.562,0.0,front
C3,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,76.0375,64.18,-90.0,front
C4,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,62.0575,61.4,180.0,front
C5,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,136.8375,60.02,90.0,front
C6,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,148.7375,64.879999,-90.0,front
C7,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,88.138,59.55,0.0,front
C8,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,97.862,58.475,0.0,front
C9,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,133.862,57.975,0.0,front
C10,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,112.75,68.913,0.0,front
C11,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,104.088,64.25,90.0,front
C12,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,112.412,72.05,90.0,front
C13,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,107.5,72.212,90.0,front
C14,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,170.5,68.05,0.0,front
C15,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,87.75,65.0,90.0,front
C16,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,119.25,58.562,0.0,front
C17,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,103.7575,62.75,180.0,front
C18,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,116.0,58.25,90.0,front
C19,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,102.75,58.25,90.0,front
C20,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,114.75,72.0,90.0,front
C21,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,89.0,65.0,90.0,front
C22,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,68.0,65.25,90.0,front
C23,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,152.0,65.25,90.0,front
C24,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,110.8,68.8,0.0,front
C25,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,IR_Glasses:C_0603_1608Metric,158.5,57.95,0.0,front
C26,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,IR_Glasses:C_0603_1608Metric,125.25,66.0,90.0,front
C27,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,IR_Glasses:C_0603_1608Metric,84.0,63.25,90.0,front
C28,47u 16V X5R,YAGEO,CC1210KKX5R7BB476,C596320,IR_Glasses:C_1210_3225Metric,122.0,67.3,0.0,front
C29,1n,FH,0402CG102J500NT,C53547,IR_Glasses:C_0402_1005Metric,105.2375,67.93,-90.0,front
C30,1n,FH,0402CG102J500NT,C53547,IR_Glasses:C_0402_1005Metric,104.3,69.25,-90.0,front
C31,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,90.25,65.0,90.0,front
