Ref,Val,Package,PosX,PosY,Rot,Side
"D4","IR11-21C/TR8","Everlight_IR11_21C",48.009300,-94.112400,-74.093000,top
"D5","IR11-21C/TR8","Everlight_IR11_21C",46.087800,-73.821800,-105.150000,top
"D6","IR11-21C/TR8","Everlight_IR11_21C",62.859700,-65.800200,-174.743000,top
"D7","IR11-21C/TR8","Everlight_IR11_21C",84.977200,-66.135800,172.509000,top
"D8","IR11-21C/TR8","Everlight_IR11_21C",102.590300,-78.786300,87.338000,top
"D9","IR11-21C/TR8","Everlight_IR11_21C",122.806000,-99.439800,-61.268000,top
"D10","IR11-21C/TR8","Everlight_IR11_21C",138.635300,-107.099700,-6.530000,top
"D11","IR11-21C/TR8","Everlight_IR11_21C",159.333000,-106.047300,11.779000,top
"D12","IR11-21C/TR8","Everlight_IR11_21C",171.990700,-94.112400,74.093000,top
"D13","IR11-21C/TR8","Everlight_IR11_21C",173.912200,-73.821800,105.150000,top
"D14","IR11-21C/TR8","Everlight_IR11_21C",157.140300,-65.800200,174.743000,top
"D15","IR11-21C/TR8","Everlight_IR11_21C",135.009800,-66.082500,-173.002000,top
"D16","IR11-21C/TR8","Everlight_IR11_21C",117.430900,-78.712700,-87.240000,top
"D17","PESD5V0S1BA,115","D_SOD-323",159.000000,-60.000000,90.000000,top
"FB1","600R@100MHz 500mA","L_0603_1608Metric",89.000000,-67.000000,0.000000,top
"J1","2492111-5","TE_2492111-5_1x05_P0.5mm_Horizontal",165.000000,-61.700000,180.000000,top
"PD1","PD15-22B/TR8","Everlight_PD15_22B",99.147400,-94.932200,69.734000,top
"PD2","PD15-22B/TR8","Everlight_PD15_22B",86.291500,-106.416600,9.481000,top
"PD3","PD15-22B/TR8","Everlight_PD15_22B",65.540400,-106.847500,-7.387000,top
"PD4","PD15-22B/TR8","Everlight_PD15_22B",49.532800,-98.737200,-65.946000,top
"PD5","PD15-22B/TR8","Everlight_PD15_22B",45.494200,-78.589700,-89.524000,top
"PD6","PD15-22B/TR8","Everlight_PD15_22B",57.968200,-66.432400,-167.812000,top
"PD7","PD15-22B/TR8","Everlight_PD15_22B",80.057400,-65.602500,176.212000,top
"PD8","PD15-22B/TR8","Everlight_PD15_22B",102.215800,-73.951500,106.619000,top
"PD9","PD15-22B/TR8","Everlight_PD15_22B",120.832100,-94.933300,-70.297000,top
"PD10","PD15-22B/TR8","Everlight_PD15_22B",133.708500,-106.416600,-9.481000,top
"PD11","PD15-22B/TR8","Everlight_PD15_22B",154.459600,-106.847500,7.387000,top
"PD12","PD15-22B/TR8","Everlight_PD15_22B",170.467200,-98.737200,65.946000,top
"PD13","PD15-22B/TR8","Everlight_PD15_22B",174.505800,-78.589700,89.524000,top
"PD14","PD15-22B/TR8","Everlight_PD15_22B",162.031800,-66.432400,167.812000,top
"PD15","PD15-22B/TR8","Everlight_PD15_22B",139.958300,-65.579800,-174.859000,top
"PD16","PD15-22B/TR8","Everlight_PD15_22B",117.783400,-73.891700,-106.197000,top
"R1","2.67k","R_0402_1005Metric",125.750000,-63.250000,90.000000,top
"R2","10k","R_0402_1005Metric",85.000000,-59.500000,0.000000,top
"R3","10k","R_0402_1005Metric",86.000000,-64.500000,0.000000,top
"R4","10k","R_0402_1005Metric",103.500000,-61.000000,0.000000,top
"R5","100k","R_0402_1005Metric",115.800000,-61.000000,90.000000,top
"R6","4.7k","R_0402_1005Metric",113.000000,-70.000000,0.000000,top
"R7","4.7k","R_0402_1005Metric",113.500000,-72.000000,90.000000,top
"R8","22","R_0402_1005Metric",154.000000,-66.000000,0.000000,top
"R9","22","R_0402_1005Metric",170.000000,-69.500000,0.000000,top
"R10","10k","R_0402_1005Metric",125.750000,-60.000000,90.000000,top
"R11","100","R_0402_1005Metric",102.000000,-67.000000,0.000000,top
"R12","100","R_0402_1005Metric",116.000000,-67.000000,90.000000,top
"R13","47","R_0402_1005Metric",89.750000,-60.000000,90.000000,top
"RF1","100k","R_0402_1005Metric",72.888000,-58.875000,90.000000,top
"RF2","100k","R_0402_1005Metric",74.638000,-63.875000,0.000000,top
"RF3","100k","R_0402_1005Metric",82.112000,-62.125000,90.000000,top
"RF4","100k","R_0402_1005Metric",82.612000,-58.375000,0.000000,top
"RF5","100k","R_0402_1005Metric",62.388000,-59.775000,90.000000,top
"RF6","100k","R_0402_1005Metric",62.388000,-63.025000,90.000000,top
