Designator,Mid X,Mid Y,Layer,Rotation
PD9,121.206099mm,-94.791700mm,top,-70.355000
PD10,133.767499mm,-106.021000mm,top,-8.481000
PD11,154.408200mm,-106.450800mm,top,7.387000
PD12,170.104800mm,-98.567800mm,top,64.946000
PD13,174.106000mm,-78.579400mm,top,88.524000
PD14,161.961799mm,-66.826300mm,top,168.750000
PD15,139.994100mm,-65.978100mm,top,-174.859000
PD16,118.174300mm,-73.976500mm,top,-104.792000
R1,123.600000mm,-58.600000mm,top,0.000000
R2,85.000000mm,-59.500000mm,top,0.000000
R3,89.500000mm,-64.500000mm,top,0.000000
R4,98.500000mm,-66.000000mm,top,0.000000
R5,115.800000mm,-61.750000mm,top,90.000000
R6,110.750000mm,-69.000000mm,top,0.000000
R7,107.000000mm,-71.000000mm,top,0.000000
R8,116.400000mm,-58.500000mm,top,90.000000
R9,116.250000mm,-66.750000mm,top,0.000000
R10,117.700000mm,-63.750000mm,top,90.000000
R11,102.600000mm,-65.500000mm,top,0.000000
R12,107.450000mm,-69.350000mm,top,90.000000
R13,88.250000mm,-58.500000mm,top,0.000000
R14,100.550000mm,-66.000000mm,top,180.000000
R15,123.700000mm,-69.000000mm,top,0.000000
R16,118.950000mm,-67.250000mm,top,90.000000
R17,61.750000mm,-58.000000mm,top,0.000000
R18,124.500000mm,-63.000000mm,top,90.000000
R19,120.300000mm,-69.500000mm,top,90.000000
R20,143.950000mm,-65.550000mm,top,90.000000
R27,103.750000mm,-67.750000mm,top,0.000000
R28,121.550000mm,-69.500000mm,top,90.000000
R29,150.850000mm,-66.050000mm,top,0.000000
RF1,72.888000mm,-58.875000mm,top,90.000000
RF2,74.638000mm,-63.875000mm,top,0.000000
RF3,82.112000mm,-62.125000mm,top,90.000000
RF4,82.612000mm,-58.375000mm,top,0.000000
RF5,62.388000mm,-59.775000mm,top,90.000000
RF6,62.388000mm,-63.025000mm,top,90.000000
RF7,69.862000mm,-64.775000mm,top,0.000000
RF8,69.862000mm,-58.025000mm,top,0.000000
RF9,140.888000mm,-64.000000mm,top,0.000000
RF10,138.888000mm,-64.000000mm,top,0.000000
RF11,145.362000mm,-63.875000mm,top,0.000000
RF12,147.112000mm,-58.875000mm,top,90.000000
RF13,150.138000mm,-58.025000mm,top,0.000000
RF14,148.388000mm,-63.025000mm,top,90.000000
RF15,158.112000mm,-64.250000mm,top,0.000000
RF16,155.862000mm,-58.025000mm,top,0.000000
U1,121.000000mm,-62.000000mm,top,0.000000
U2,77.500000mm,-60.500000mm,top,0.000000
U3,67.000000mm,-61.400000mm,top,0.000000
U4,142.500000mm,-60.500000mm,top,0.000000
U5,153.000000mm,-61.400000mm,top,0.000000
U6,87.000000mm,-62.000000mm,top,0.000000
U7,94.500000mm,-61.600000mm,top,90.000000
U8,132.750000mm,-61.400000mm,top,90.000000
U9,110.000000mm,-63.000000mm,top,0.000000
U10,110.000000mm,-71.300000mm,top,0.000000
U11,167.000000mm,-67.000000mm,top,0.000000
U12,126.750000mm,-65.750000mm,top,0.000000
U13,121.750000mm,-66.500000mm,top,0.000000
U14,137.000000mm,-60.500000mm,top,0.000000
U16,100.500000mm,-61.200000mm,top,90.000000
U18,158.500000mm,-62.100000mm,top,0.000000
U19,127.500000mm,-62.100000mm,top,0.000000
