Reference,Value,Footprint,Quantity,Populate,X_mm,Y_mm,Rotation_deg,Side,Manufacturer,MPN,LCSC
D6,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,62.9055,66.2981,-174.743,front,Everlight,IR11-21C/TR8,C16745
RF6,100k,IR_Glasses:R_0402_1005Metric,1,Yes,62.388,63.025,90.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF6,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,65.888,64.775,0.0,front,FH,0402CG220J500NT,C1555
PD7,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,80.031,66.001599,176.212,front,Everlight,PD15-21B/TR8,C2921391
D7,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,84.912,66.631599,172.509,front,Everlight,IR11-21C/TR8,C16745
RF7,100k,IR_Glasses:R_0402_1005Metric,1,Yes,69.862,64.775,0.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF7,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,71.612,63.025,90.0,front,FH,0402CG220J500NT,C1555
PD8,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,101.8327,74.0665,106.613,front,Everlight,PD15-21B/TR8,C2921391
D8,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,102.0915,78.7534,87.41,front,Everlight,IR11-21C/TR8,C16745
RF8,100k,IR_Glasses:R_0402_1005Metric,1,Yes,69.862,58.025,0.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF8,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,71.612,59.775,90.0,front,FH,0402CG220J500NT,C1555
U7,TMUX1308PWR,IR_Glasses:TSSOP-16_4.4x5mm_P0.65mm,1,Yes,95.0,62.0,0.0,front,Texas Instruments,TMUX1308PWR,C970231
U4,TLV9064IPWR,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,1,Yes,142.5,60.5,0.0,front,Texas Instruments,TLV9064IPWR,C779410
U5,TLV9064IPWR,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,1,Yes,153.0,61.4,0.0,front,Texas Instruments,TLV9064IPWR,C779410
PD9,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,121.206099,94.7917,-70.355,front,Everlight,PD15-21B/TR8,C2921391
D9,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,123.253199,99.2161,-63.186,front,Everlight,IR11-21C/TR8,C16745
RF9,100k,IR_Glasses:R_0402_1005Metric,1,Yes,137.888,58.875,90.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF9,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,137.888,60.875,90.0,front,FH,0402CG220J500NT,C1555
PD10,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,133.767499,106.021,-8.481,front,Everlight,PD15-21B/TR8,C2921391
D10,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,138.6922,106.6029,-6.53,front,Everlight,IR11-21C/TR8,C16745
RF10,100k,IR_Glasses:R_0402_1005Metric,1,Yes,137.888,62.875,90.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF10,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,136.638,62.125,90.0,front,FH,0402CG220J500NT,C1555
PD11,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,154.4082,106.4508,7.387,front,Everlight,PD15-21B/TR8,C2921391
D11,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,159.2309,105.5578,11.779,front,Everlight,IR11-21C/TR8,C16745
RF11,100k,IR_Glasses:R_0402_1005Metric,1,Yes,145.362,63.875,0.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF11,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,147.112,62.125,90.0,front,FH,0402CG220J500NT,C1555
PD12,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,170.1048,98.5678,64.946,front,Everlight,PD15-21B/TR8,C2921391
D12,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,171.5099,93.9754,74.093,front,Everlight,IR11-21C/TR8,C16745
RF12,100k,IR_Glasses:R_0402_1005Metric,1,Yes,147.112,58.875,90.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF12,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,148.362,58.875,90.0,front,FH,0402CG220J500NT,C1555
PD13,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,174.106,78.5794,88.524,front,Everlight,PD15-21B/TR8,C2921391
D13,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,173.4235,73.926999,102.15,front,Everlight,IR11-21C/TR8,C16745
RF13,100k,IR_Glasses:R_0402_1005Metric,1,Yes,150.138,58.025,0.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF13,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,148.388,61.025,90.0,front,FH,0402CG220J500NT,C1555
PD14,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,161.961799,66.8263,168.75,front,Everlight,PD15-21B/TR8,C2921391
D14,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,157.094499,66.2981,174.743,front,Everlight,IR11-21C/TR8,C16745
RF14,100k,IR_Glasses:R_0402_1005Metric,1,Yes,148.388,63.025,90.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF14,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,150.138,64.775,0.0,front,FH,0402CG220J500NT,C1555
PD15,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,139.9941,65.9781,-174.859,front,Everlight,PD15-21B/TR8,C2921391
D15,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,135.0707,66.5788,-173.002,front,Everlight,IR11-21C/TR8,C16745
RF15,100k,IR_Glasses:R_0402_1005Metric,1,Yes,158.112,64.025,0.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF15,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,154.112,64.775,0.0,front,FH,0402CG220J500NT,C1555
PD16,PD15-21B/TR8,IR_Glasses:Everlight_PD15_21B,1,Yes,118.1743,73.9765,-104.792,front,Everlight,PD15-21B/TR8,C2921391
D16,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,117.9303,78.6886,-87.24,front,Everlight,IR11-21C/TR8,C16745
RF16,100k,IR_Glasses:R_0402_1005Metric,1,Yes,155.862,58.025,0.0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF16,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,153.862,58.025,0.0,front,FH,0402CG220J500NT,C1555
U8,TMUX1308PWR,IR_Glasses:TSSOP-16_4.4x5mm_P0.65mm,1,Yes,131.0,61.5,0.0,front,Texas Instruments,TMUX1308PWR,C970231
C1,1u,IR_Glasses:C_0402_1005Metric,1,Yes,85.0,58.25,0.0,front,CCTC,TCC0402X7R105K160AT,C49210445
C2,100n,IR_Glasses:C_0402_1005Metric,1,Yes,121.25,58.562,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C3,100n,IR_Glasses:C_0402_1005Metric,1,Yes,76.388,64.5,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C4,100n,IR_Glasses:C_0402_1005Metric,1,Yes,61.888,58.15,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C5,100n,IR_Glasses:C_0402_1005Metric,1,Yes,136.638,60.0,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C6,100n,IR_Glasses:C_0402_1005Metric,1,Yes,147.888,64.65,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C7,100n,IR_Glasses:C_0402_1005Metric,1,Yes,88.138,59.55,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C8,100n,IR_Glasses:C_0402_1005Metric,1,Yes,97.862,58.475,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C9,100n,IR_Glasses:C_0402_1005Metric,1,Yes,133.862,57.975,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C10,100n,IR_Glasses:C_0402_1005Metric,1,Yes,112.75,68.913,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C11,100n,IR_Glasses:C_0402_1005Metric,1,Yes,104.088,64.25,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C12,100n,IR_Glasses:C_0402_1005Metric,1,Yes,112.412,72.05,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C13,100n,IR_Glasses:C_0402_1005Metric,1,Yes,107.5,72.212,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C14,100n,IR_Glasses:C_0402_1005Metric,1,Yes,170.5,68.05,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C15,100n,IR_Glasses:C_0402_1005Metric,1,Yes,87.75,65.0,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C16,100n,IR_Glasses:C_0402_1005Metric,1,Yes,119.25,58.562,0.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C17,100n,IR_Glasses:C_0402_1005Metric,1,Yes,104.0,58.838,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C18,1u,IR_Glasses:C_0402_1005Metric,1,Yes,116.0,58.25,90.0,front,CCTC,TCC0402X7R105K160AT,C49210445
C19,1u,IR_Glasses:C_0402_1005Metric,1,Yes,102.75,58.25,90.0,front,CCTC,TCC0402X7R105K160AT,C49210445
C20,1u,IR_Glasses:C_0402_1005Metric,1,Yes,114.75,72.0,90.0,front,CCTC,TCC0402X7R105K160AT,C49210445
C21,1u,IR_Glasses:C_0402_1005Metric,1,Yes,89.0,65.0,90.0,front,CCTC,TCC0402X7R105K160AT,C49210445
C22,1u,IR_Glasses:C_0402_1005Metric,1,Yes,68.0,65.25,90.0,front,CCTC,TCC0402X7R105K160AT,C49210445
C23,1u,IR_Glasses:C_0402_1005Metric,1,Yes,152.0,65.25,90.0,front,CCTC,TCC0402X7R105K160AT,C49210445
C24,1u,IR_Glasses:C_0402_1005Metric,1,Yes,159.25,57.75,0.0,front,CCTC,TCC0402X7R105K160AT,C49210445
