Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
CF12,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF13,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF14,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF15,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF16,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF2,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF3,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF4,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF5,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF6,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF7,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF8,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF9,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
D1,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
