Reference,E6_X,E6_Y,E6_Angle,E6_Layer,E7_X,E7_Y,E7_Angle,E7_Layer,Status
TP5,102.25,65.05,0.0,B.Cu,,,,,removed
TP6,116.5,63.3,0.0,B.Cu,,,,,removed
TP7,117.75,65.8,0.0,B.Cu,98.0,69.05,180.0,F.Cu,retained
TP8,118.25,68.05,0.0,B.Cu,142.0,107.3,180.0,F.Cu,retained
TP9,124.25,59.35,90.0,B.Cu,118.5,69.35,90.0,F.Cu,retained
U1,121.0,62.0,0.0,F.Cu,121.0,62.0,0.0,F.Cu,retained
U10,110.0,71.3,0.0,F.Cu,110.0,71.3,0.0,F.Cu,retained
U11,167.0,67.0,0.0,F.Cu,167.0,67.0,0.0,F.Cu,retained
U12,52.4,66.2,90.0,F.Cu,126.75,65.75,0.0,F.Cu,retained
U13,117.5,66.6,0.0,F.Cu,121.75,66.5,0.0,F.Cu,retained
U14,137.0,60.5,0.0,F.Cu,137.0,60.5,0.0,F.Cu,retained
U16,100.5,61.2,90.0,F.Cu,100.5,61.2,90.0,F.Cu,retained
U18,158.5,62.1,0.0,F.Cu,158.5,62.1,0.0,F.Cu,retained
U19,95.0,67.3,0.0,F.Cu,127.5,62.1,0.0,F.Cu,retained
U2,77.5,60.5,0.0,F.Cu,77.5,60.5,0.0,F.Cu,retained
U3,67.0,61.4,0.0,F.Cu,67.0,61.4,0.0,F.Cu,retained
U4,142.5,60.5,0.0,F.Cu,142.5,60.5,0.0,F.Cu,retained
U5,153.0,61.4,0.0,F.Cu,153.0,61.4,0.0,F.Cu,retained
U6,87.0,62.0,0.0,F.Cu,87.0,62.0,0.0,F.Cu,retained
U7,94.5,61.6,90.0,F.Cu,94.5,61.6,90.0,F.Cu,retained
U8,132.75,61.4,90.0,F.Cu,132.75,61.4,90.0,F.Cu,retained
U9,110.0,63.0,0.0,F.Cu,110.0,63.0,0.0,F.Cu,retained
