Ref,Pin,Polarity,Net,PCB_X_mm,PCB_Y_down_mm
U1,4,See manufacturer pinout,LED_K3,119.0625,62.25
U1,5,See manufacturer pinout,LED_K4,119.0625,62.75
U1,6,See manufacturer pinout,LED_K5,119.0625,63.25
U1,7,See manufacturer pinout,LED_K6,119.75,63.9375
U1,8,See manufacturer pinout,LED_K7,120.25,63.9375
U1,9,See manufacturer pinout,LED_K8,120.75,63.9375
U1,10,See manufacturer pinout,LED_K9,121.25,63.9375
U1,11,See manufacturer pinout,LED_K10,121.75,63.9375
U1,12,See manufacturer pinout,LED_K11,122.25,63.9375
U1,13,See manufacturer pinout,LED_K12,122.9375,63.25
U1,14,See manufacturer pinout,LED_K13,122.9375,62.75
U1,15,See manufacturer pinout,LED_K14,122.9375,62.25
U1,16,See manufacturer pinout,LED_K15,122.9375,61.75
U1,17,See manufacturer pinout,LED_K16,122.9375,61.25
U1,18,See manufacturer pinout,LED_BLANK,122.9375,60.75
U1,19,See manufacturer pinout,unconnected-(U1-SOUT-Pad19),122.25,60.0625
U1,20,See manufacturer pinout,IREF,121.75,60.0625
U1,21,See manufacturer pinout,3V3,121.25,60.0625
U1,22,See manufacturer pinout,GND,120.75,60.0625
U1,23,See manufacturer pinout,LED_SIN,120.25,60.0625
U1,24,See manufacturer pinout,LED_SCLK,119.75,60.0625
U1,25,See manufacturer pinout,GND,121.0,62.0
PD5,1,K,PD_IN5,46.180468,76.933942
PD5,2,A,AGND,46.207884,80.233828
PD5,3,A,AGND,44.807932,80.245458
PD5,4,K,PD_IN5,44.780516,76.945572
D9,1,A,3V3,123.406891,100.535896
D9,2,K,LED_K9,122.205109,98.343704
PD4,1,K,PD_IN4,49.499477,96.945165
PD4,2,A,AGND,50.844549,99.958599
PD4,3,A,AGND,49.566123,100.529235
PD4,4,K,PD_IN4,48.221051,97.515801
PD3,1,K,PD_IN3,63.994094,105.941168
PD3,2,A,AGND,67.266705,106.365451
PD3,3,A,AGND,67.086706,107.753832
PD3,4,K,PD_IN3,63.814095,107.329549
J1,1,See manufacturer pinout,3V3,166.0,63.05
J1,2,See manufacturer pinout,GND,165.5,63.05
J1,3,See manufacturer pinout,HOST_TX,165.0,63.05
J1,4,See manufacturer pinout,HOST_RX,164.5,63.05
J1,5,See manufacturer pinout,NRST,164.0,63.05
J1,MP,See manufacturer pinout,,167.67,61.35
J1,MP,See manufacturer pinout,,162.33,61.35
D5,1,A,3V3,45.761116,75.028356
D5,2,K,LED_K5,46.414484,72.615244
PD11,1,K,PD_IN11,152.733295,106.365451
PD11,2,A,AGND,156.005906,105.941168
PD11,3,A,AGND,156.185905,107.329549
PD11,4,K,PD_IN11,152.913294,107.753832
D6,1,A,3V3,61.614958,65.914729
D6,2,K,LED_K6,64.104442,65.685671
PD16,1,K,PD_IN16,118.915868,72.50245
PD16,2,A,AGND,117.995363,75.671467
PD16,3,A,AGND,116.650932,75.28095
PD16,4,K,PD_IN16,117.571437,72.111933
D12,1,A,3V3,172.333296,92.910265
D12,2,K,LED_K12,171.648104,95.314535
PD2,1,K,PD_IN2,84.548734,105.997951
PD2,2,A,AGND,87.803657,105.454373
PD2,3,A,AGND,88.034266,106.835249
PD2,4,K,PD_IN2,84.779343,107.378827
D4,1,A,3V3,48.351896,95.314535
D4,2,K,LED_K4,47.666704,92.910265
D1,1,A,3V3,97.825347,98.291731
D1,2,K,LED_K1,96.627853,100.486269
D7,1,A,3V3,83.737868,65.972837
D7,2,K,LED_K7,86.216532,66.298763
PD8,1,K,PD_IN8,102.016951,75.73278
PD8,2,A,AGND,101.07313,72.570627
PD8,3,A,AGND,102.414649,72.17022
PD8,4,K,PD_IN8,103.35847,75.332373
D15,1,A,3V3,133.769112,66.234793
D15,2,K,LED_K15,136.250488,65.930207
PD15,1,K,PD_IN15,141.664387,66.129132
PD15,2,A,AGND,138.377663,66.424836
PD15,3,A,AGND,138.252213,65.030468
PD15,4,K,PD_IN15,141.538937,64.734764
D16,1,A,3V3,117.491091,79.96125
D16,2,K,LED_K16,117.370709,77.46415
D3,1,A,3V3,61.890678,106.302472
D3,2,K,LED_K3,59.443322,105.792128
D14,1,A,3V3,155.895558,65.685671
D14,2,K,LED_K14,158.385042,65.914729
PD13,1,K,PD_IN13,173.792116,80.233828
PD13,2,A,AGND,173.819532,76.933942
PD13,3,A,AGND,175.219484,76.945572
PD13,4,K,PD_IN13,175.192068,80.245458
PD6,1,K,PD_IN6,59.728793,66.768274
PD6,2,A,AGND,56.503175,67.46497
PD6,3,A,AGND,56.207607,66.096526
PD6,4,K,PD_IN6,59.433225,65.39983
D10,1,A,3V3,139.877191,107.241854
D10,2,K,LED_K10,137.393409,106.957546
